Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
Gradifi acquired by E*TRADE,Gradifi,E*TRADE,"Dec 12, 2019",—,Acquisition,—,Gradifi.com is a website that helps students choose their courses in college.,—,"Analytics, Education, Financial Services","New York, New York, United States",—,—,M&A,—,E*Trade is a financial services company that specializes in online discount stock brokerage service for self-directed investors.,"Finance, Financial Services","New York, New York, United States",—,—,M&A,—
Desalitech acquired by DuPont,Desalitech,DuPont,"Dec 11, 2019",—,Acquisition,—,"Desalitech develops reverse osmosis systems, providing an efficient and cost-effective water supply and wastewater treatment solution.",—,"Environmental Engineering, Information Services, Information Technology","Tel Aviv, Tel Aviv, Israel",—,"$22,250,000",M&A,3,"DuPont offers sustainable solutions for agriculture, electronics, communications, construction, transportation and apparel markets.","Advanced Materials, Agriculture, Innovation Management","Wilmington, Delaware, United States",—,"$9,000,000",M&A,1
IlliniCare Health acquired by CVSHealth,IlliniCare Health,CVSHealth,"Dec 2, 2019",—,Acquisition,—,IlliniCare Health is a hospital & health care company that offers health insurance product.,—,"Fitness, Health Care, Insurance, Medical","Westmont, Illinois, United States",—,—,M&A,—,CVS Health offers services from advising on prescriptions to helping manage chronic and more.,"Health Care, Medical, Personal Health, Pharmaceutical, Sales","Woonsocket, Rhode Island, United States",—,—,IPO,1
Have & Be Co Ltd acquired by Estee Lauder Companies,Have & Be Co Ltd,Estee Lauder Companies,"Nov 24, 2019","$1,700,000,000",Acquisition,—,"Have & Be Co Ltd's line of business includes the manufacturing of perfumes, cosmetics, and other toilet preparations.",—,"Beauty, Consumer Goods, Cosmetics, Manufacturing","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",—,—,M&A,—,"Estee Lauder Companies is a manufacturer and marketer of skincare products, makeup, perfumes and hair care products.","Consumer Goods, Cosmetics, Fashion, Health Care, Lifestyle, Manufacturing, Product Design, Retail","New York, New York, United States",—,—,IPO,—
MECS acquired by DuPont,MECS,DuPont,"Nov 10, 2010",—,Acquisition,—,"MECS is a chemicals firm specializing in phosphate fertilizer, oil refining, and metal smelting industries.",—,Manufacturing,—,—,—,M&A,—,"DuPont offers sustainable solutions for agriculture, electronics, communications, construction, transportation and apparel markets.","Advanced Materials, Agriculture, Innovation Management","Wilmington, Delaware, United States",—,"$9,000,000",M&A,1
Virtual Clarity acquired by DXC Technology,Virtual Clarity,DXC Technology,"Nov 8, 2019",—,Acquisition,—,"Virtual Clarity delivers strategic systems transformations, enabling you to create the right environment for successful business change.",—,"Consulting, Information Technology, Software","London, England, United Kingdom",—,—,M&A,1,"DXC Technology is a end-to-end IT services company, helping clients harness the power of innovation to thrive on change.","Information Technology, Insurance","Arlington, Virginia, United States",—,—,IPO,—
SOURIAU SAS acquired by Eaton Corporation,SOURIAU SAS,Eaton Corporation,"Jul 22, 2019","$920,000,000",Acquisition,—,SOURIAU SAS is a global supplier of highly engineered connectors for harsh environments.,—,"Electronics, Manufacturing","Versailles, Ile-de-France, France",—,—,M&A,—,"Eaton Corporation is a diversified power management company for electrical, hydraulic, and mechanical applications.","Automotive, Electrical Distribution, Hardware, Software","Dublin, Dublin, Ireland",—,"$5,400,000",IPO,3
Interxion acquired by Digital Realty Trust,Interxion,Digital Realty Trust,"Oct 29, 2019","$8,400,000,000",Acquisition,Stock,Europe-based data center service providers,—,"Data Center, Digital Media, Information Technology, Internet, Telecommunications","Schiphol, Noord-Holland, The Netherlands",—,"€100,000,000",M&A,2,"Digital Realty Trust is a wholesale data center provider, delivering customized data analysis solutions to businesses.","3D Technology, Data Center, Digital Media, Finance, Mobile, Social Media","San Francisco, California, United States",—,—,IPO,—
Unimil acquired by John Deere,Unimil,John Deere,"Oct 14, 2019",—,Acquisition,—,Unimil is a privately-held Brazilian company in the aftermarket service parts business for sugarcane harvesters.,—,"Agriculture, Consumer","Piracicaba, Sao Paulo, Brazil",—,—,M&A,—,"Deere & Company is an American corporation that manufactures agricultural, construction, and forestry machinery.","Agriculture, Construction, Consumer, Industrial Manufacturing, Manufacturing, Real Estate, Robotics","Moline, Illinois, United States",—,—,IPO,—
OnLink acquired by John Deere,OnLink,John Deere,"Jul 9, 2019",—,Acquisition,—,OnLink Inc. is a provider of eCommerce sales and marketing applications.,—,"E-Commerce, Internet, Marketing","Redwood City, California, United States",—,"$20,000,000",M&A,1,"Deere & Company is an American corporation that manufactures agricultural, construction, and forestry machinery.","Agriculture, Construction, Consumer, Industrial Manufacturing, Manufacturing, Real Estate, Robotics","Moline, Illinois, United States",—,—,IPO,—
Voicea acquired by Cisco,Voicea,Cisco,"Aug 7, 2019",—,Acquisition,—,"Voicea created EVA, an Enterprise Voice Assistant that joins meetings to take notes and identify action items; making them more productive!",—,"Artificial Intelligence, Collaboration, Virtual Assistant","Menlo Park, California, United States",—,"$20,000,000",M&A,4,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.","Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States",—,"$2,500,000",IPO,1
National Powersport Auctions acquired by Copart,National Powersport Auctions,Copart,"Jun 12, 2017",—,Acquisition,—,Provider of auction and remarketing services in the powersports industry.,—,Wholesale,"Poway, California, United States",—,—,M&A,—,Copart is a Vehicle auctioning company traded on NASDAQ with ticket CPRT. It owns it's own yards and maintenance personel.,"Automotive, E-Commerce","Fairfield, California, United States",—,—,IPO,—
Metrological acquired by Comcast,Metrological,Comcast,"Sep 15, 2019",—,Acquisition,—,Upgrade any STB with apps and OTT services.,—,"Apps, Information Technology, iOS, Software","Rotterdam, Zuid-Holland, The Netherlands",—,—,M&A,1,Comcast Corporation is a global media and technology company.,"Internet, Telecommunications, TV, Video, Web Hosting","Philadelphia, Pennsylvania, United States",—,—,IPO,—
Wrappup acquired by Cisco,Wrappup,Cisco,"Sep 12, 2019",—,Acquisition,—,Wrappup is a meeting-based productivity app with intelligent voice recording that helps inside sales managers make better decisions.,—,"Apps, Artificial Intelligence, Meeting Software, Sales, Software","Dubai, Dubai, United Arab Emirates",—,"$800,000",M&A,1,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.","Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States",—,"$2,500,000",IPO,1
Filorga Cosmétiques - Skincare acquired by Colgate Palmolive,Filorga Cosmétiques - Skincare,Colgate Palmolive,"Jul 11, 2019","€1,495,500,000",Acquisition,—,Filorga Cosmétiques - Skincare is a premium anti-aging skin care brand focused primarily on facial care.,—,Beauty,—,—,—,M&A,—,"Colgate-Palmolive is a consumer products company that produces, distributes, and provides household, healthcare, and personal products.","Beauty, Consumer Goods, Health Care","New York, New York, United States",—,—,IPO,1
Newport Systems Solutions acquired by Cisco,Newport Systems Solutions,Cisco,"Jul 12, 1994","$90,800,000",Acquisition,—,Newport Systems delivers custom web-based equipment and repair management solutions.,—,"Internet, Wireless","Irvine, California, United States",—,—,M&A,—,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.","Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States",—,"$2,500,000",IPO,1
CloudCherry acquired by Cisco,CloudCherry,Cisco,"Aug 26, 2019",—,Acquisition,—,CloudCherry Experience Management platform that is disrupting the way organizations listen to the Voice of Customer.,—,"Banking, Customer Service, Data Integration, Enterprise Software, Information Technology, Market Research, SaaS, Software, Text Analytics","Salt Lake City, Utah, United States",—,"$16,000,000",M&A,5,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.","Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States",—,"$2,500,000",IPO,1
Acacia acquired by Cisco,Acacia,Cisco,"Jul 9, 2019","$2,600,000,000",Acquisition,—,"Acacia develops, manufactures, and sells high-speed coherent optical interconnect products.",—,"Information Technology, Manufacturing, Software, Telecommunications, Web Hosting","Maynard, Massachusetts, United States",—,"$23,000,000",M&A,4,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.","Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States",—,"$2,500,000",IPO,1
Syscom acquired by DXC Technology,Syscom,DXC Technology,"Aug 21, 2019",—,Acquisition,—,Syscom specializes in IT Service Management and IT security.,—,Information Technology,"Oslo, Oslo, Norway",—,—,M&A,—,"DXC Technology is a end-to-end IT services company, helping clients harness the power of innovation to thrive on change.","Information Technology, Insurance","Arlington, Virginia, United States",—,—,IPO,—
Chemstar Corporation acquired by Ecolab,Chemstar Corporation,Ecolab,"Aug 12, 2019",—,Acquisition,—,Provides customized food safety and sanitation solutions to Fortune 100 companies .,—,Chemical,"Lithia Springs, Georgia, United States",—,—,M&A,—,"Ecolab is a global leader in water, hygiene, and energy technologies and services that provide clean water, safe food, and abundant energy.","Energy, Food and Beverage, Information Technology, Renewable Energy","Beaver Creek, Minnesota, United States",—,—,IPO,—
Hydrogenics acquired by Cummins,Hydrogenics,Cummins,"Jul 1, 2019","$290,000,000",Acquisition,—,"Hydrogenics is a leader designing, manufacturing, building and installing industrial and commercial.",—,"Energy, Manufacturing, Renewable Energy","Mississauga, Ontario, Canada",—,"$11,567,019",M&A,3,"Cummins develops, sells, and services diesel and natural gas engines power generation systems and engine-related component products.","Electric Vehicle, Manufacturing, Oil and Gas","Columbus, Indiana, United States",—,"$262,500",IPO,1
